Samples,Caffeine,CuSO4,DTT,EtOH10,EtOH9,EtOH8,Malt_Ext,Fructose,G418,Galactose,Glicerol,Glucose,H2O2,KCl,Lactose,Methanol,Maltodextrine,Maltose,NaCl,p-coumeric acid,Rafinose,Sacarose,SDS,Sorbitol
CL608.1,0.153717882,0.241259688,0.179469481,0.179469481,0.18378956,0.229977676,0.119529788,0.313499734,0.276889757,0.213073522,0.077004814,0.307265512,0.257776874,0.331443104,0.112352147,0.168955362,0.121257539,0.242825246,0.250414853,0.276889757,0.204098126,0.306965675,0.270422506,0.29602868
CL609.1,0.152662494,0.194579675,0.165112727,0.165112727,0.149588631,0.222498829,0.145007814,0.301411171,0.278252767,0.194325564,0.106212664,0.331646271,0.265829459,0.248966313,0.092366631,0.231239691,0.10758993,0.209913274,0.21626871,0.278252767,0.200252898,0.268923136,0.273514213,0.269627633
CL610.1,0.161606229,0.221921115,0.185392942,0.185392942,0.174687947,0.235399038,0.123818452,0.308185049,0.269246826,0.215803623,0.091044665,0.309861731,0.296061051,0.213503983,0.066191862,0.207223349,0.087148421,0.257474801,0.256457662,0.269246826,0.22242838,0.325303775,0.26788769,0.284439177
CL611.1,0.144827654,0.245675454,0.189139899,0.189139899,0.182791248,0.257517838,0.165937788,0.311544796,0.289535156,0.246070417,0.121377577,0.302543229,0.27037218,0.21206523,0.102520297,0.268833685,0.107670411,0.244809881,0.283171903,0.289535156,0.228039919,0.278829842,0.273580019,0.28207018
CL619.1,0.155747791,0.166682432,0.191048137,0.191048137,0.214007318,0.25255806,0.122717484,0.313790789,0.282853328,0.233157252,0.13473583,0.328536129,0.293476538,0.269468326,0.092717087,0.235139988,0.104140443,0.238700733,0.305536925,0.282853328,0.269998222,0.306330208,0.292528529,0.292281524
CL620.1,0.141376441,0.301169591,0.173172153,0.173172153,0.18283824,0.250380165,0.156079983,0.293901918,0.274801226,0.226113938,0.074333633,0.278377376,0.215971164,0.252485699,0.078074227,0.255488173,0.090925605,0.23265636,0.26521073,0.274801226,0.231479513,0.28174216,0.319267753,0.2607402
CL621.1,0.058689332,0.109988777,0.164094167,0.164094167,0.169910769,0.192720561,0.095363627,0.236527175,0.19346958,0.190121536,0.105604514,0.269223721,0.209641796,0.229024943,0.068358837,0.195808914,0.103562928,0.335702346,0.199136864,0.19346958,0.238909689,0.236136966,0.177037442,0.231596046
CL710.1,0.155491683,0.260571013,0.20283024,0.20283024,0.207596931,0.252135881,0.135695391,0.3188676,0.301576842,0.220747962,0.099872191,0.320283565,0.231530603,0.277861504,0.528816985,0.268970729,0.105874089,0.206843619,0.271663619,0.301576842,0.205521145,0.314293207,0.283357272,0.296090634
CL813.1,0.224453369,0.170579625,0.243029628,0.080964501,0.125957582,0.131478259,0.094613409,0.270979153,0.166870328,0.157512,0.050408163,0.172778604,0.170579625,0.219918551,0.127312534,0.172845029,0.092268241,0.198076896,0.224453369,0.223191458,0.229516723,0.283618781,0.171243654,0.251169277
CL814.1,0.199282374,0.116438893,0.260248711,0.068335248,0.099793893,0.110456249,0.08602214,0.255000275,0.122893555,0.139388509,0.052539331,0.159699,0.116438893,0.220383781,0.11033191,0.145014354,0.121409249,0.176712125,0.199282374,0.214918377,0.238211432,0.293344261,0.19627977,0.253711963
CL815.1,0.188021868,0.167203868,0.257297593,0.06235117,0.105537748,0.11571343,0.079649591,0.312019729,0.144566532,0.174079941,0.065248001,0.158828972,0.167203868,0.207185898,0.067792051,0.163119954,0.058085235,0.182209199,0.188021868,0.215604569,0.204962365,0.286450394,0.191486596,0.234888023
CL816.1,0.15977464,0.138349555,0.275370928,0.063772866,0.104014238,0.112582946,0.052220929,0.252028447,0.09084118,0.168455909,0.049150676,0.137050112,0.138349555,0.180893141,0.055056207,0.144090374,0.065799634,0.181300289,0.15977464,0.210839949,0.182239055,0.269218993,0.16640095,0.237057512
CL817.1,0.167723268,0.184213153,0.264896722,0.06127747,0.109077012,0.11065616,0.05923736,0.264330812,0.10735568,0.193832891,0.057759748,0.168525861,0.184213153,0.139941867,0.059848485,0.136916532,0.057691785,0.180471014,0.167723268,0.207500245,0.195065753,0.257892838,0.169662052,0.243173362
CL821.1,0.196156784,0.13990281,0.213229703,0.05398078,0.110207504,0.111127463,0.076677474,0.201329897,0.125745172,0.111454211,0.037367872,0.127915452,0.13990281,0.127083855,0.115150075,0.124531261,0.069064316,0.16534533,0.196156784,0.173174641,0.184245796,0.232907933,0.14078899,0.192207044
CL824.1,0.211789021,0.103226211,0.264486931,0.072011192,0.106923261,0.118830095,0.084559704,0.254358515,0.114892137,0.164707392,0.050872015,0.178255173,0.103226211,0.183652413,0.085625472,0.136275628,0.053577172,0.187619535,0.211789021,0.211197567,0.196877548,0.25328323,0.156462585,0.239796489
CL902.1,0.194695681,0.149408048,0.237528138,0.075783228,0.139276948,0.125728075,0.104192026,0.261692319,0.127008415,0.161468925,0.055606799,0.16538506,0.149408048,0.21141238,0.111576227,0.153075426,0.108034916,0.190184598,0.194695681,0.226571748,0.214223505,0.26684144,0.169489903,0.220997751
CL903.1,0.192685871,0.12803036,0.251351351,0.077052157,0.132104239,0.12601668,0.108907535,0.21358298,0.181016794,0.123183356,0.089177659,0.162582958,0.12803036,0.20311926,0.0967407,0.148829532,0.013071346,0.183793362,0.192685871,0.201270413,0.251858337,0.228939663,0.183249539,0.185866454
CL904.1,0.189325435,0.142166186,0.279106293,0.078565912,0.130302326,0.143937975,0.091267372,0.274027924,0.132632484,0.135155963,0.074639588,0.167791107,0.142166186,0.2025067,0.071773956,0.12618155,0.127854688,0.213990798,0.189325435,0.187271,0.251361384,0.296212957,0.183542035,0.238582455
CL905.1,0.291848563,0.140561554,0.308336488,0.061172464,0.110687885,0.116622902,0.092580131,0.233903487,0.258037399,0.124629236,0.065121452,0.155399467,0.140561554,0.204879985,0.071547533,0.116901271,0.095926048,0.208894814,0.291848563,0.181157788,0.243105413,0.264215058,0.163811191,0.199865511
CL906.1,0.250182964,0.132608799,0.267937852,0.059088307,0.109845206,0.110819476,0.080352611,0.237208197,0.193859443,0.146519166,0.052590373,0.143733523,0.132608799,0.186776368,0.05953576,0.115376785,0.045283664,0.202045022,0.250182964,0.165921421,0.225882666,0.259459414,0.15668472,0.205245362
CL907.1,0.22804595,0.120926778,0.31006733,0.057103206,0.111898688,0.102516717,0.084972096,0.233468232,0.239970586,0.13162115,0.061019067,0.160506669,0.120926778,0.176551331,0.146785151,0.100764524,0.058397626,0.161105172,0.22804595,0.159567275,0.217547484,0.259743779,0.131437907,0.198208237
CL909.1,0.258324598,0.216349634,0.259464307,0.064741214,0.124675242,0.12487283,0.085341443,0.247558802,0.135500851,0.126114909,0.078770757,0.151728634,0.216349634,0.172432495,0.087381315,0.109958955,0.051764997,0.17015012,0.258324598,0.15026455,0.222087838,0.267145488,0.126001734,0.193280939
CL910.1,0.235359396,0.158012301,0.277185893,0.069114407,0.135875719,0.139227638,0.096249273,0.246126551,0.299989103,0.186198295,0.051205633,0.173547086,0.158012301,0.161889069,0.135443974,0.135957792,0.042537122,0.19067555,0.235359396,0.157781622,0.231320853,0.280285339,0.15666633,0.218975227
CL1001.1,0.09839,0.09839,0.177565,0.054315,0.050177,0.050849,0.218004,0.227311,0.089901,0.151484,0.024173,0.183823,0.135993,0.15689,0.056372,0.051267,0.071731,0.180073,0.135993,0.205813,0.190117,0.256423,0.112523,0.213261
